tweet_id,preprocessed_tweet
100024,hay hembras de colibrí de cuello blanco florisuga mellivora que adoptan una coloración similar al plumaje de los machos para evitar a los machos más agresivos de esta forma escapan de sus intentos de seducción y tienen más tiempo para alimentarse 
100027,y’all really harassed this person por algo tan inofensivo lmao a la verdad que no tienen empatía 
100028, quiet sexist 
100029,fuentes backhand index pointing down light skin toneman technologist medium skin tone fin del hilo conoce más sobre tu derecho a creer en 
100031,this artist is only 20 that is so young to be harassed like this no les dan vergüenza hablar tan mal de alguien tan joven regardless of what the original convo was about la anti negritud de mestizos y blancos en la diáspora y en latinoamérica es algo asqueroso 
100032, ay se me olvidaban las pruebas por aquello de no hablar sobre invenciones como tú otra 
100033,she harassed the senator así que váyanse a mamar 
100034,eeuu documentos desclasificados revelan que misteriosos drones en julio de 2019 acosaron a buques de guerra yanquis en las costas de california foia mysterious drones harassed us navy warships off california 
100035,devastador pero con crítica constructiva chris cuomo sexually harassed me i hope he’ll use his power to make change 
100036, loca d mierda en k momento
100037, el chico sandman d escuela católica que viajó a washington con un grupo de compañeros y fueron harassed y atacados x black israelites secta y un nativo americano y que cnn etc dijeron que fie al revés causando expulsiones amenazas de muerte etc aprox 100 millones ganó
100038, encima siempre a la misma pobre tisi she’s being harassed
100040,cuando pretendieron defender la libertad de expresión de académicos quejándose de que de alguna manera la gente trans los estaba silenciando skullskullskullskull
100041,balance scale selector piden más de tres años de cárcel para el vecino de torrevieja acusado de colgar el dni de la víctima de la manada en un foro lama nada
100042, pues mira no son hombres cada uno con su familia amistades y haciendo vida normal igual que los de lamanada y los que asesinan a diario a sus parejas por eso deberíamos preguntarnos qué coño está pasando con los hombres para q actúen así y qué clase de sociedad queremos 
100044, lama nada agresión sexual en navarra tienen dni muy español había hasta un agente expulsado por sus delitos de guardia civil el cátedro es el ejemplo de la derecha caverna nosotros ser español síndrome marujita díaz 
100046,este viernes 22 do sl intern as j auria lama nada teatro entrevista completa a 
100047,caso lama nada heredia es la abogada de la víctima telephone receiver “mal llamado así fue una violación grupal y no por animales sin raciocinio” expresa “va a juicio oral… agarré el caso luego de que personas quedaron fuera del proceso tras aquel episodio del ‘desahogo sexual’ ” cuenta 
100048,alejandro saavedra violador parte de lama nada en scz finalmente sentenciado a 20 años seva a caer
100049, los políticos acostumbran a hablarle al pueblo como si fueran una manada de estúpidos pero lamanada no hacemos nada por contradecirlos 
100050,comparto algunas columnas anteriores que reflexionan sobre el tema de la viola cin grupal y las reacciones de la sociedad y todo esto esta de 2018 sobre el caso de lama nada con reflexiones sobre el baño de santa teresa 
100051,confirman que la madre del violador de lama nada eliane saavedra daza recibía plata del gobierno municipal de gestión de la ex alcaldesa “sin trabajar” 2000itemsfantasmasunmil contratos fantasma s 
100052, quin descontrol desde lo de lamanada es un no parar de violencia
100053,“la manada” panda facelion facefox face mis bebés 🤍lamanada dogs of insta gram do glover siberian husky shetland sheepdog husky sheltie husky siberia no pastor de shetland en metepec 
100054, por eso amé lama nada de no dejo de pensar en esa novela 
100055,mis leones metiendo cojones coño 7 3 firefirefirelion facelion facelion face lama nada
100056, white medium starsiiii estuvo increíble mi pipe eres un crack te adoramossss lama nada wolf faceblue heartwhite medium star
100058,mientras scooby disfruta unas vacaciones en lamanada yo cuido en casa a merlot el russian bleu de mi hija 
100059,la otra víctima de lama nada si el prenda se arrepintiera de verdad me hubiera pedido perdón a mí también 
100060,lo de lopetegui en rueda de prensa diciendo no se que de la minifalda y tal era por los de lama nada no 
100061, si hubiese un me too del cine español sería por homosubvenciones y felamamandurrias 
100062, hay otro tema en el ambiente pero el me too es un ejemplo interesante de lo que dices 
100063,come on label metoo smiling face with sunglassespopcorn 
100064,crece la preocupación por el paradero de peng shuai crece la preocupación por el paradero de peng shuai 
100065, siempre he pensado que esa escena la de la segunda pelicula se a librado del movimiento me too hasta ahora haber cuando la cancelan
100066,creo que la 4t va a pasar a la historia como el gobierno que más premiaba y condecoraba a los agraviantes sexuales que vergüenza ahí esta el salgado macedonio y ahora pedro salmeron y no dudo que haya más face with symbols on mouthme too
100067,un tribunal chino desestima el primer caso de me too y amenaza con acabar con este incipiente movimiento en el país vía por 
100068,veo que surge una respuesta tipo not all americans a la lucha contra la afluencia de estadounidenses a pr como el not all men a metoo en ambos casos la réplica obvia que se trata de estructuras y dinámicas que crean desigualdad no de si individuos se portan bien o mal 
100070, dicen que la denuncia es real la cariola dijo que ella era feminista y del metoo y le creía a la victima así de tarados weones a cagar le dan material a kast con un asunto muy grave 
100071,p orsino lo viste e spect a culos a co so me too 🟣la top model británica emily ratajkowski denunció que fue acosada sexualmente por el cantante robin thicke durante el rodaje del videoclip de blurred lines diario de mexico
100072,el asunto can essa puede ser el inicio de un movimiento me too en ecuador para denunciar el acoso sexual en todo nivel por ejemplo no entiendo como se normaliza en nuestro país los matrimonios entre profesores y alumnas de educación secundaria desde hace décadas hay casos 
100074,hey como es que este en la cárcel no digo que este mal o bien pero como es que el hdlv de sigue libre y haciendo aún sus putos retiros donde abusa de mujeres me too
100075, quizá annette narración supuestamente en la órbita del me too sea en realidad y al margen de sus virtudes cinematográficas algo más frívolo hay que ver annette sin duda y luego leer a 
100076,el me too y el mundo literario acosadores la pesadilla de las escritoras testimonios de cuatro autoras que viven infiernos a causa de los hombres que las persiguen por 
100077,el tan necesario me too en el mundo académico amenazas de muerte a las 3 de la mañana intentaron echarme de la universidad y cuando vieron que no podían con nosotros fueron a por nuestros hijos en las escuelas women in stem 
100079, se va a caer lo vamos a tirar abrazos no estas sola me too
100081, incel persona que expresa su incapacidad de conseguir relaciones sexuales a pesar de ser su deseo caracterizados por el resentimiento que hay en sus publicaciones los mgtow se supone que es un grupo que sigue la idea del separatismo entre el hombre y la mujer 
100082, los que hacían verdadero caos no son esos no fueron fotografiados ni detenidos lamentable porque por lo mismo pueden volver 
100083, literalmente toda la discografía de aitana es eso que dices que no existe 
100084, no creo en el infierno paraíso para mi murió impune por la cobardía argentina 
100086, es mucho peor los veganos rechazan los productos animales por moral por no hacer un daño a seres que consideran que hay que proteger los mgtow rechazan a las mujeres por resentimiento odio y paranoia 
100087, se llama nicho de mercado 
100088, los mgtow puteros de manual franquista cortados todos al mismo patron 
100089, no se que le pasó a ésta mujer está confundida o le pagaron en sobre 
100090, se llama criterio es cuando dejas el pensamiento binario y empiezas a ver los matices 
100091, a milei también lo puede llegar a consumir un tincho redpill que no sería un tanque de leche al contrario les va muy bien en cambio moreno parece más para un público mgtow
100092, diria que mas que tocar puntos sensibles hay ciertos problema en la comunidad y varios individuos que hacen ver mal a todos los mgtow aunque tambien es culpa de quienes son ignorantes del tema y piensan que cualquiera con una cuenta recien creada diciendo que son mgtow lo son 
100093, esa vieja qlia no sabe ni 1 we 
100094, d pseudo transgresores que son cómplices por inanición o tienen ideologías de mierda que prefieren ser showmans en el status quo laje milei que son la respuesta argentina a paul joseph watson ben shapiro y milo yiannopoulos o básicamente los mgtow 3 4 
100096, mgtow y así será por algunos años no he encontrado otra alternativa 
100097, el único que se compadecería por verme llorar es mi papá ninguna otra persona de ningún sexo lo haría 
100098, me an contado que este gueveta de sepulveda es prepotente leantaoraja
100100,gente que no es mgtow discutiendo quién de todos es más mgtow pura sangre luego dice sandman que el manifiesto 3 0 no aporta nada cómo se nota que no conoce la mentalidad y la picaresca hispánica 
100101,digo esto por qué it’s just plain rude se puede interpretar cómo una microagresión y te da aires de que te crees superior yo nunca hago esto por lo menos a mi mami y papi me criaron con modales y me enseñaron a respetar a las personas 
100102, creo que hay algo de pasivoagresivo y manipulador gente que hace sentir culpable a otros de cualquier vaina es para aplicarles luego chantaje emocional un fren una vez me dijo que asumir que él está mal porque está desempleado es una microagresión no los oporto 
100103, no te leí en su momento y ya todo pasó pero te devolveré esta microagresión face with tears of joy
100104,nunca vi a tanta gringa celebrando que los países pobres que nunca tenemos nada nos quedemos sin nada otra vez pueden decir lo que quieran pero si tiene aires de microagresion y las odio 
100105,y más aun casi siempre va acompañado de una agresión física y así hablan de microagresión por cualquier caballá 
100106, un noble salvaje italiano garcha durante 300 páginas sin miedo a cometer una microagresión me encantó cómo describe el triste panorama actual de la edición literaria aunque él lo suscriba a eeuu no cambiaremos el mundo pero al menos cambiamos de tema como pedía joyce 
100107, lo conseguiste lalu la portada pasó de gustarme much a no gustarme nada visto al lado de la de messi pues si yo te digo que yo me identifico mil veces más con ella en estas fotos pero ese no es el punto sí es microagresión 
100108,un gendarme vino a mi mesa de voto para hablar conmigo en mandarín petizo y probablemente lindo lo interpreto como un ofrecimiento coital y no como una microagresión racista 
100109,ok va pero tengo una pregunta si robin nos hace daño sería considerada una microagresión 
100110,y recuerden que decir no todos los hombres no es más que una microagresión que demuestra tu necesidad de controlar la opinión de una mujer y someterla a los parámetros de lo que tú esperas que ella sea 
100111,he aprendido una nueva palabra “microagresión”smiling face with sunglasses cuando opino acerca de algo relacionado con el racismo contra los asiáticos me dicen algunos que estoy exagerando o que solo ha sido una broma y ya no se puede decir nada sin ofender a nadie etc ve este vídeo y ya entenderás 
100112,ni siquiera se dan cuenta que ese pensamiento es una microagresión porque ellos incluso están por encima de algunos artistas grandes en todos los aspectos pero por ser coreanos los siguen viendo como si fueran menos
100113, pues no la microagresion se introdujo como concepto para destacar algo que es normal en el día a día y que puede ser nociva por el uso que se le da no se permite todo se nos permite reflexionar sobre lo establecido de algodón tú que te ofendes cuando escuchas microagresion 
100114, no se pero la verdad fue rarísimo en plan lo de la orientación fue muy por la cara no sé si es microagresion o que
100116,studio microphone selector municipal fm enseguidaplay button selector en el espacio de entrevistas de quito 2 0 alejandra cárdenas abogada en dd hh nos explicará el concepto de microagresión hacia la comunidad lgtbiq en la esfera pública consultas al mobile phone with arrow2510 510 mobile phone with arrow2510 2511laradiodelaciudad 
100117,mano pasar por microagresiones raciales a diario es saber que lo que te dijo la persona es una microagresión pero preferir no responderle porque si lo haces eres un salvaje 
100119,así como va la cosa por la hipersensibilidad de esta generación de cristal buena para nada y que todo lo consideran microagresion producto de la supremacía del hombre blanco no queda mucho para que el contenido que se encuentre luego en la deep web sean cosas tan ofensivas 
100120, hola lourdes en la estamos haciendo un estudio sobre agresion microagresion y abuso al personal de la salud durante la pandemia te interesaria ver la encuesta y ayudarnos a recabar mas info de fisioterapeutas y kinesiologos as abrazo 
100121, a ver si tú y tu micromachismo defienden a quien pegue a tu hija
100124, sujétame el cubata qué es un micromachismo de libro o macro machismo es una expresión machista como la copa de un pino que debería estar señalada por la autoridad y sancionada por la sociedad que piensa como debe ser 
100125, diganle eso a los ave diabetes hipertensión y todas esas patologías asociadas a la obesidad pero diganle cosas en serio no que es culpa del patriarcado y del micromachismo
100126, sabes que es el micromachismo un serie de cortometrajes aborda el tema en rd clapper board movie camera 
100127, si decirle mamita es micromachismo entonces si le dices a un hombre papito sería microhembrismo podría ser considerado falta de respeto por la forma que te referiste a una autoridad pero no tiene nada de machismo dejemos de mezclar los conceptos 
100128, independientemente de lo que sea no podes juzgar de micromachismo a un nene sin dejar pasar en alto que la enferma de la madre tiene conversaciones con el hijo de sobre si durmió o no con alguien a la noche básicamente hablan de los garches que tiene la madre 
100129, face with tears of joy cabal bajando del carro y en la radio hablan “claro que es micromachismo negarle a tu esposa sexo oral durante su periodo” face with tears of joyface with tears of joy
100130, es micromachismo decirle el celular cuando claramenta se identifica con la a como femenina 
100131, madre miaaaaaa esto es un micromachismo 
100132, gente no se maten en tratar de hacerle entender lo que escribió se deshumanizo por completo a tal punto que considera la cortesía como micromachismo 
100133, micromachismo interiorizado jajajajajaja vale mr trabucoface with tears of joygracias por el chiste después de una larga jornada viene bien reírse
100134, esto es un comentario machista como dicen en salvame un micromachismo que pasa que solo las ciudadanas se quejan de la luz por qué ponemos lavadoras hacemos la comida etc etc la subida de la luz no va con los ciudadanos es decir con los hombres 
100135, s account is temporarily unavailable because it violates the twitter media policy learn more 
100137,solo no saben qué te están haciendo daño neniux si sufres algún tipo de machismo o micromachismo abre la boca las cosas no cambian hasta que alzas la voz 
100138, vamos que los hombres tendremos que comprar los medicamentos en el extranjero por si detectan un micromachismo cuando entremos en la farmacia 
100139, acabas de decir que es un tema de micromachismo q x lo menos yo lo he vivido mil veces y ella quiso generar un cambio y k lo utilizó de la manera más vil sin pensar ni un segundo en ella si eso no lo puedes ver me da mucha pena porque no empatizas con ella
100140, por ejemplo si buscas en buscadores normales como google o en otros más específicos “micromachismo” hay mucha información y así con cada uno de los términos presentes en la infografía 
100142, me encanta ver a aludidos que tratan de justificar a los abusadores luego no estén llorando diciendo not all men loudly crying faceloudly crying face
100143,se acuerdan cuando ellas jodian con not all men kjj not all women 
100144, not all men manolo en mi casa la hace mi padre pero sabemos de sobra que en la mayoría la hacen abuelas madres y tías no hay ninguna duda también son las que limpian 
100146, not all men not all trans mmmmmmm me pregunto qué tendrán en común eggplant 
100147,si pudieran vagones no mixtos en el transporte público en españa ellos no lo respetarían mientras que harían ruido por internet para mostrar lo desigual y ofensivo que les parece porque not all men ellas suben a su novio amigo hermano porque él es diferente not all men
100148, a mi me sabe fatal pero lo que leo en tuiter no es lo que veo en el mundo real 17 veces me han dicho “cambia de médico” hablando de médicos distintos de verdad que me sabe fatal por vosotros pero no sois la mayoría ni la norma es un poco notallmen de verdad 
100149, ya ven todo por estar discutiendo una enésima faceta más de not all men me distraje y ya me llamaron la atención en el trabajo por un detalle que se me fué 
100150, sí ya sabemos que no todos not all men pero los suficientes para hacer mêmes relieved face
100151, pásate x la cuenta d cuando anuncia una nueva víctima d violencia mac hist a aparece a comentar cada unineuronal woman facepalming light skin tone no les importa q aparezca muerta otra mujer o menor x violencia vicari a solo vienen a explicarnos q bla bla intentaría putear al marido y not all men
100153,si ya se not all men hijos de un camión de machirulos inmundos 
100155, pensaba que cuando pones una opinión pública es porque aceptas la posibilidad de que otros te expresen la suya con respeto y más si encima no se alejan de la tuya bastante tienes con aguantar a los notallmen como para encima también confrontarte con gente que solo se expresa
100156,creo que a la hora de decidir tener unx hijx la pregunta más importante es si eventualmente te bancarías ser madre soltera porque not all men y coso pero todo tipo es un padre abandónico hasta que se demuestre lo contrario
100157,por ejemplo bla bla bla not all men no pues 3 de cada 10 hombres son feminicidas 6 de cada 10 hombres son violadores y 2 de cada 10 son pederastas qué queréis que os diga nos vendría muy bien 
100158, y por tanto en vez quejarte de la ley vas y te marcas un not all men bien ofendidito podrias poner un par de retweets tuyos de esos que dices donde consideras que 
100159, joder que puto asco los tíos así que luego vendrán gilis a decir notallmen pero mira gañán son inmensa mayoría los que hacen estas mierdas es que lo puto reventaba a ese gilipollas joder 
100160,no todos los hombres son delincuentes pero prácticamente todos los delincuentes son hombres not all men 
100162,leyendo los lyrics de all too well 10 minutos… y no me creo de ninguna forma que la taylor de 2011 escribiera “f ck the patriarchy” a mí no me engaña
100164,premiere 4 15 toxic teenage girls black girl predator pedophile wisdom over feelings black community age of aquarius healing
100166,btw me cae muy mal cara delevine y la verdad que si remera de peg the patriarchy no ayuda
100169,arranque el año gritando fuck the patriarchy a los 4 vientos con la rubia d fondo como dios taylor manda folded hands light skin tonefolded hands light skin tone
100171,solo puedo pensar cuando escuche ese fuck the patriarchy 
100172,lo que los amo por favor la representación de pegged the patriarchy 
100173, vi el video y recordé esto peg the patriarchy una grande paulina flexed biceps mediumlight skin tone
100174,no like patriarchy ella es literalmente una mamasita q está buenísima y a la q su novio maltratador q le ha puesto los cuernos con su mejor amiga le ha puesto una pistola en la fucking cabeza amenazándola de matarla él es solo un average incel que wapeoniza ser simpático tf 
100175, y ya ni hablamos del ninguneo a la población femenina en ensayos clínicos e investigación médica en general it s patriarchy baby 
100176,man claims to be the patriarchy shorts a través de 
100177,estaba escuchando all too well en la cocina y gaby desde la pieza obviamente gritó a todo pulmón “fuck the patriarchy”
100178, es maravilloso que se os caiga la careta y ver lo que sois en realidad la violencia mac hist a reaccionaria de todo el patriarchy mujeres amadrid23oct mujeres alas calles ya 
100179, sentencia que por cierto recae con particular dedicatoria sobre las mujeres pus porque patriarchy verdad face with rolling eyes
100180,volví a activar mi ig y todo x chupar un pito the patriarchy won again
100181,en marzo marvel celebra el día de la mujer con un especial con aventuras de algunas de sus heroínas tendrá varias portadas será difícil elegir una solo marvel comics dia de la mujer womens day 
100182,feliz día de la mujer haz clic en las cajas para ganar puntos y cupones 
100184,diseño de branding para le femme madrid festival benéfico por el día de la mujer todo lo recaudado se donará a toda la info en y conciertos madrid festival es dise ogr fico poster design womens day 
100185,maravillada con la creación de soha elghany en análisis de los tuits por el womens day 2021 8m analytics big data data mining ciber feminism o internet feminista mujeres en red twitter 
100186,yo soy kate dobinger alvarezaustria hondurasregalanos tu foto con los brazos cruzados y di no a los prejuiciosunete a nuestra campañarompiendoprejuiciosbreakthebiaiwd2022wannyangerermovingcultures 
100187,feliz día de la mujer haz clic en las cajas para ganar puntos y cupones 1 
100188, gran oportunidad de crear consciencia raising handsgracias querida wanny 
100189,conferencia pro empoderamiento de la mujer a realizarse el 12 de marzo de 2022 purple heartbreak the bias canada canada chc chc 1millonjuntos internati no al womens day women womens day latin xs his pan xs 
100190,globe showing Americas the lac women in water survey is open the responses will shape our upcoming webinar on womens day encuesta mujeres en el agua – perspectivas de américa latina y el caribe los resultados se discutirán durante el webinar iwa del día de la mujer 
100191,she in womens day pulsa en las cajas para ganar cupones y puntos 
100192,el prójimo mes sera el dia de los derechos de la mujer pero se lucha cada dia womens day internationalwomens day women 
100193, por qué no hacen el paro que sé les antoje otro día y respetan el 8m o no tienen ni idea lo que significa ese día en la historiadouble exclamation mark selector⁉️ no sé cuelguen de una fecha que merece respeto double exclamation mark selectorraised fist mediumlight skin tone uruguay world 8marzo dia de la mujer womens day internationalwomens day
100194, no permitir doping de pogatchar ni de roglich juego limpio no le hagan daño al ciclismo todos nos damos cuenta menos uds 
100195,she in womens day haz clic en las cajas para ganar puntos y cupones 
100196,visibilidad a los problems que aún existen la mayoría de la violencia a la mujer viene principalmente de las personas de las que se espera las proteja dia internacional de la mujer womens day santa sofia cocina fusion 
100197,can yaman mania informa womens day está cerca preparadas can yaman 𝑴𝓪𝓷𝓲𝓪 heart suit selector 
100199, gran oportunidad de exposición para sus juegos en está aceptando propuestas de videojuegos que ya estén presentes en steam para figurar en el evento de womens day woman raising hand️pueden ver todos los requisitos para participar en el formulario del tweet smiling face with 3 hearts 
100200,participa con nosotros durante en este 4 año en viva yeg latino en el mes de la mujer break the bias womens day iwd2022 women internationalwomens day viva yeg latino inc 
100201, no period womens rights right to choose
100202,capitalism 101 slave nation art graffiti wheat paste poverty mental health universal credit cut universal credit eton millionaire tory scum austerity kills suicide awareness political artist civil did obedience now rebel rise up womens rights street artist system change 
100203,san marino votes to legalise abortion in referendum sanmarino womens rights 
100204,nov 6 2021 london climate protestord climate protest feminism feminista street protest reportage spotlight street sans frontieres capture streets lgbtq i a women photo womens rights climate justice 
100205,kavanaugh is unqualified womens rights 
100206,esta fotografía de es el fondo de pantalla de mi ordenador la memoria es demasiado efímera y en la vorágine del día a día es fácil olvidar la tragedia que azota la vida de tantas mujeres afghanistan afghanistan women afghan women womens rights human rights 
100207, viejo estupido e ignorarte al feminicidio womens rights my body my choice
100208,estamos ahí hace rato que no se exprese públicamente es un problema mujer vi trina womens rights 
100209, vote out obstructionists manchinsinema etc vote out extremists Statue of Libertyvote blue to save america voting rights now maddow save democracy roe v wade choice vawa womens rights lgbtq blm climate action for the people 
100210,aquí vemos que la libertad de género no es fundamental para el crecimiento de una sociedad con el puro orden y control basta para enriquecerse económicamente riad womens rights freedom islam barcelona real madrid fundamentalism or ich nation mundo arabe n iq ab 
100211,tuve la oportunidad de dejar un mensajito en el reporte del equipo de país onu méxico orange heartMexico las juventudes queremos estar incluidas en la toma de decisiones generation equality youth womens rights 
100212, lo explica muy bienwomensrights civil rights ema kume ak muller es dere it os 
100214,al comentar sobre las noticias newspaper de hoy stefan oelrich dice esta inversión es un testimonio de nuestros esfuerzos y determinación de hacer nuestra parte para lograr los objetivos de desarrollo sostenible de la onu health for all womens rights derechos de la mujer 
100217,ina am hajaj women empowerment programempowerwomen women empowerment women supporting women women empowering women women inspiring women women power womens rights know your rights palestinian women refugee women self love self care mental health mental healthmatters 
100218,por un futuro más brillante y libre de violencia pinta el mundo de naranja pongamos fin a la violencia contra las mujeres ya dia naranja pinta el mundo de naranja 25n soror i dad no mas violencia mujeres sin limites orange the world women supporting women womens rights 
100219,pequeños pasos que dejan grandes huellas womens rights purple heart 
100220,el odio que me inspira el gobierno polaco es indescriptible womens rights
100221,después de sufrir la agresión agravada con delito de odiojudith tuvo que sufrir una nueva agresión por parte de los yo site creo 
100223,te vas de fiesta a terminar la noche y te pasa esta mierda encima lees los comentarios de la noticia y no te creen yost e creo
100224,no solo somos valientes cuando denunciamos somos valientes cuando sobrevivimos así sigamos en silencio valientes somos todas las que hablan y las que no porque acá seguimos seguimos de pie yo site creo
100225, pero no decía que las mujeres no mentían como era aquello de yo site creo 
100227, no nos conocemos pero aquí tu manada te respalda hermana yost e creo
100228, yo site creo no esta is sola apoyorocio14n recuerdo cuando al dia siguiente en la oficina estabamos hablando del dolor que habia pasado la mato en vida le quito en vida sus hijos y una especie de der ser jef me dijo y tu por que la defiendes tanto a ti quien te paga el sueldo 
100229,parece ser que ahora todo es pena y verguenza porque una mujer se está defendiendo no recuerdo esas palabras durante 25 años mientras a rocío carrasco se la tiraba por los suelos en cada plato cada fin de semana y la palabras eran otras yo site creo el precio del silencio
100232,dos buenas recomendaciones clapper boardpopcornnetflix western sin balazos un drama con final inesperado prime video un buen ejemplo del yost e creo una chica es abusada y nadie le cree video backhand index pointing downplay button selector movies pel cul as 
100233, amen hermana yo site creo ha sido un espectáculo lamentable de los americanos 
100234,‼️brava teresa una de las jóvenes abusadas con 14 años en un centro de acogida de la ⁦⁩ pena y horror merece mejor suerte y justicia contra el abusador y sus encubridores teresa yo site creo purple heartpurple heartpurple heartgracias ⁦⁩ por no olvidar a estas niñas 
100235,yomerebelo6neste caso querían taparlo y las que ahora se definen como feminista pues nada pronto hay juicio ánimo carlota prado yo site creo yomerebelo6n 
100236, claro q sí carlota hoy leyendo a muchos fucsias dudando de sofía sofia es lo de menos aquí sofía representa a muchas otras víctimas que están calladas si sofía cae x el juicio de la sociedad todas esas niñas quedarán silenciadas para siempre yo site creo apoyorocio16s
100238, madre mía madre mía menos mal que el tiempo lo pone todo en su sitio apoyorocio23n yo site creo marea rosa purple heartpurple heartpurple heartpurple heartpurple heartpurple heartpurple heart 
100239,yo site creo impunidad bajo el amparo de la excelente 
100241, pero a las mujeres hay que creerlas sí o sí jajajaj dais pena todo el día con la matraca de la opresión los policías llevan años pidiendo cámaras a ver si se las dan y dejáis de llorar 
100243, es algo que no se había visto antes en otros ataques como el hecho de que a las mujeres hay que creerlas sí o sí 
100244, yo que ustedes haría algo ya para que deje de haber tanto casos de violencia de género a las mujeres hay que dejarlas vivas y libres son personas como nosotros no más violencia de género
100245,rogando que mi bebé sea varón para enseñarle que a las mujeres hay que tratarlas como princesa
100246, a las mujeres hay que hablarles con amor y cariño por qué esa es lo que les falta por eso te lo hablo con respeto y cariño
100247, si a las mujeres hay que tenerles cuidado mejor que no vaya si gusta la sra puede ir a hacer protesta fuera de palacio nacional como todos solo quiere opacar el premio con sus locuras contra el aborto la señora
100248, lo irónico es que en su mayoría sean hombres quienes apoyan la criminalización de las mujeres frente al aborto claro a las mujeres hay que castigarlas juzgarlas y señalarlas siempre como si no fuera suficiente tener que cargar con el peso de una violación 
100249,…a las mujeres hay que tratarlas con delicadeza total… y hasta donde ellas dejen… ahi esta el truco 
100250, puede pasar se supo defender a mí se me reforzó que a las mujeres hay que abordarlas con modales saludos
100251,del debate archi artes diciendo a kkkast que su movimiento se acabó en 1945 en alemania le dijo nazi de la forma más hermosa sichel diciendo que a las mujeres hay que dejarlas hacer cosas o sea este weon les va a dar permiso a las mujeres para que hagan cosas machista o no 
100252, tu eres de les persones que vive segure de que a las mujeres hay que maltratarlas y que ellas deben dejarse maltratar repetidamente de paso no pierdes oportunidad de hacerlo tú misme que mal te va amígue 
100254,bueno por lo que vi a las mujeres hay que presumirlas y darles atención perfecto anotado lo peor de todo es que nos gorrean igual
100255,y quién pudiendo no le da a las mujeres hay que darle yo le daría… smiling face with sunglasses 
100257, jajajaja a las mujeres hay que quererlas antes de entenderlas buen día mi estimado lobo abrazote
100258, a las mujeres hay que tratarlas bien independientemente de lo que hizo nunca debe tratarse como un hombre hay se involucra la familia los hijos yo ni denuncia le hubiera puesto 
100259, claro como también debería saber la tal irene montera que el corán dice que la mujer es inferior al hombre que la mujer es simplemente un regalo que alá le hizo al hombre y es por eso que dicen que a las mujeres hay que pegarlas de vez en cuando para que sean respetuosas 
100260, su novio es un bobo hppp por eso les pegan cacho a las mujeres hay que hacerle todo lo que pidan y convertirla 
